"#","g#","Cover","Album","Streams","Daily"
"","372","","Mr. Morale & The Big Steppers Kendrick Lamar","2,760,891,532","4,302,698"
"","373","","In Between Dreams Jack Johnson","2,758,252,014","1,181,034"
"","374","","Hopeless Fountain Kingdom Halsey","2,753,304,348","588,879"
"","375","","Fifty Shades Darker Various Artists","2,747,484,798","882,864"
"","376","","Donde Quiero Estar Quevedo","2,744,935,839","1,819,756"
"","377","","El Dorado 24kGoldn","2,739,267,222","889,941"
"","378","","Petals To Thorns D4vd","2,735,900,098","3,093,142"
"","379","","Papi Juancho Maluma","2,732,570,248","1,066,607"
"","380","","Strange Trails Lord Huron","2,730,798,726","3,246,377"
"","381","","Without Warning 21 Savage, Offset & Metro Boomin","2,726,115,119","1,576,333"
"","382","","""Awaken, My Love!"" Childish Gambino","2,725,546,851","1,151,916"
"","383","","Come Over When You're Sober, Pt. 2 Lil Peep","2,724,288,478","1,430,695"
"","384","","House Of Balloons The Weeknd","2,719,379,926","1,938,347"
"","385","","High Expectations Mabel","2,716,081,361","437,824"
"","386","","2000 Manuel Turizo","2,715,423,181","2,776,445"
"","387","","Prayer Robin Schulz","2,708,646,418","966,112"
"","388","","Enema Of The State Blink-182","2,704,360,259","1,760,021"
"","389","","American Beauty/American Psycho Fall Out Boy","2,700,213,083","924,921"
"","390","","Badlands Halsey","2,694,738,124","550,460"
"","391","","American Idiot Green Day","2,691,561,889","1,374,653"
"","392","","Born Pink Blackpink","2,690,805,426","1,456,186"
"","393","","Melodrama Lorde","2,690,638,351","816,607"
"","394","","Jazz Queen","2,687,089,444","1,357,371"
"","395","","Globalization Pitbull","2,683,211,403","1,599,861"
"","396","","By The Way Red Hot Chili Peppers","2,681,200,984","1,540,599"
"","397","","Believe Justin Bieber","2,680,377,174","1,578,831"
"","398","","Global Warming Pitbull","2,677,912,312","1,470,936"
"","399","","To Pimp A Butterfly Kendrick Lamar","2,675,276,985","1,426,073"
"","400","","Fetty Wap Fetty Wap","2,671,099,425","695,513"
"","401","","Hall Of Fame Polo G","2,665,513,224","767,339"
"","402","","Bad Blood Bastille","2,664,272,122","802,169"
"","403","","Speak Now (Taylor's Version) Taylor Swift","2,659,747,188","2,942,155"
"","404","","Pa Las Baby's Y Belikeada Fuerza Regida","2,658,359,387","4,154,562"
"","405","","When It's Dark Out G-Eazy","2,658,206,290","680,769"
